2026-02-12 21:51:10.130 | LK | Error calling checkLK: Request failed with status code 403
2026-02-12 21:52:10.217 | LK2 | Error: res.data is not iterable
2026-02-12 21:53:10.638 | LK | Error calling checkLK: [2330] ผู้ใช้งานใช้สิทธิในการร้องขอข้อมูลครบแล้ว
2026-02-12 21:53:10.638 | LK | Error calling checkLK: Request failed with status code 403
2026-02-16 21:14:12.232 | CRON | Trigger process for 12/02 at 18:00:00 for 12h
2026-02-16 21:14:12.234 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:14:12.284 | SYS | State ปัจจุบัน = 6
2026-02-16 21:14:12.430 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:14:22.899 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:14:23.032 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:17:00.567 | CRON | Trigger process for 16/02 at 21:17:00 for 12h
2026-02-16 21:17:00.569 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:17:00.669 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 21:17:00.669 | SYS | State ปัจจุบัน = 8
2026-02-16 21:17:01.753 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 21:17:02.149 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 21:17:24.718 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 21:17:24.869 | SYS | รอ Login ThaiD
2026-02-16 21:17:28.084 | SYS | Login ThaiD สำเร็จ
2026-02-16 21:17:28.236 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:17:29.804 | ERROR | [LK2] failed for row 110: update `data` set `status_lk` = 0, `status` = 'ALIVE', `birth_date` = '1997-00-00' where `id` = 110 - Incorrect datetime value: '1997-00-00' for column 'birth_date' at row 1
2026-02-16 21:17:30.550 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:17:30.699 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:26:23.787 | CRON | Trigger process for 16/02 at 21:26:00 for 12h
2026-02-16 21:26:23.789 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:26:23.886 | SYS | State ปัจจุบัน = 8
2026-02-16 21:26:23.886 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 21:26:24.518 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 21:26:24.666 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 21:26:42.537 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 21:26:42.618 | SYS | รอ Login ThaiD
2026-02-16 21:26:45.837 | SYS | Login ThaiD สำเร็จ
2026-02-16 21:26:45.949 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:26:47.571 | ERROR | [LK2] failed for row 210: update `data` set `status_lk` = 0, `status` = 'ALIVE', `birth_date` = '1997-00-00' where `id` = 210 - Incorrect datetime value: '1997-00-00' for column 'birth_date' at row 1
2026-02-16 21:26:48.331 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:26:48.451 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:32:34.614 | CRON | Trigger process for 16/02 at 21:26:00 for 12h
2026-02-16 21:32:34.615 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:32:34.715 | SYS | State ปัจจุบัน = 8
2026-02-16 21:32:34.716 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 21:32:35.301 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 21:32:35.451 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 21:33:00.370 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 21:33:00.520 | SYS | รอ Login ThaiD
2026-02-16 21:33:03.748 | SYS | Login ThaiD สำเร็จ
2026-02-16 21:33:03.873 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:33:06.089 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:33:06.230 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:37:12.675 | CRON | Trigger process for 16/02 at 21:26:00 for 12h
2026-02-16 21:37:12.679 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:37:12.725 | SYS | State ปัจจุบัน = 6
2026-02-16 21:37:12.874 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:37:13.605 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:37:13.755 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:40:46.388 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:40:46.387 | CRON | Trigger process for 16/02 at 21:26:00 for 12h
2026-02-16 21:40:46.487 | SYS | State ปัจจุบัน = 8
2026-02-16 21:40:46.487 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 21:40:47.136 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 21:40:47.307 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 21:41:06.836 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 21:41:06.998 | SYS | รอ Login ThaiD
2026-02-16 21:41:10.254 | SYS | Login ThaiD สำเร็จ
2026-02-16 21:41:10.363 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:41:12.712 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:41:12.865 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:54:32.441 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 21:54:32.483 | SYS | State ปัจจุบัน = 8
2026-02-16 21:54:32.484 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 21:54:33.055 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 21:54:33.195 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 21:54:58.104 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 21:54:58.253 | SYS | รอ Login ThaiD
2026-02-16 21:55:00.063 | CRON | Process already running. Skip this tick.
2026-02-16 21:55:01.509 | SYS | Login ThaiD สำเร็จ
2026-02-16 21:55:01.654 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 21:55:04.025 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 21:55:04.178 | SYS | ประมวลผลสำเร็จ
2026-02-16 21:55:04.308 | SYS | Exported birth_date 8 rows -> /Users/tan/myself/tnmc/tnmc-export-api/exports/export_birth_date_20.xlsx
2026-02-16 21:55:04.308 | SYS | Exported death 0 rows -> /Users/tan/myself/tnmc/tnmc-export-api/exports/export_death_20.xlsx
2026-02-16 22:14:15.731 | SYS | เริ่มประมวลผลรายงาน
2026-02-16 22:14:15.830 | SYS | State ปัจจุบัน = 8
2026-02-16 22:14:15.831 | SYS | เริ่มดึงข้อมูลจากฐานข้อมูล
2026-02-16 22:14:16.583 | SYS | ดึงข้อมูลจากฐานข้อมูลสำเร็จ
2026-02-16 22:14:16.736 | SYS | เริ่มตรวจสอบข้อมูลกับ checkpop
2026-02-16 22:14:36.975 | SYS | ตรวจสอบข้อมูลกับ checkpop สำเร็จ
2026-02-16 22:14:37.126 | SYS | รอ Login ThaiD
2026-02-16 22:14:40.374 | SYS | Login ThaiD สำเร็จ
2026-02-16 22:14:40.485 | SYS | เริ่มตรวจสอบข้อมูลกับ LK2
2026-02-16 22:14:42.814 | SYS | ตรวจสอบข้อมูลกับ LK2 สำเร็จ
2026-02-16 22:14:42.965 | SYS | ประมวลผลสำเร็จ
2026-02-16 22:14:43.086 | SYS | Exported birth_date 8 rows -> /Users/tan/myself/tnmc/tnmc-export-api/exports/export_birth_date_21.xlsx
2026-02-16 22:14:43.087 | SYS | Exported death 0 rows -> /Users/tan/myself/tnmc/tnmc-export-api/exports/export_death_21.xlsx
